Deliverable#;GN ID;Channel;SKY;Gracenote;Service Key;Merlin ID
Deliverable 3;;LAZIO STYLE CHANNEL;https://it.imageservice.sky.com/logo/skychb_8112laziostylech;;8112;
Deliverable 3;;CACCIA E Pesca;https://it.imageservice.sky.com/logo/skychb_344cacciaepesca;;344;
Deliverable 3;;Caccia e PESCA;https://it.imageservice.sky.com/logo/skychb_350cacciaepesca;;350;
Deliverable 2;;SKY SPORT 24 SD;https://it.imageservice.sky.com/logo/skychb_929skysport24;;929;
Deliverable 2;;SKY SPORT UNO- SD;https://it.imageservice.sky.com/logo/skychb_920skysportuno;;920;
Deliverable 2;;SKY SPORT CALCIO - SD;https://it.imageservice.sky.com/logo/skychb_922skysportcalcio;;922;
Deliverable 2;;SKY SPORT FOOTBALL - SD;https://it.imageservice.sky.com/logo/skychb_712skysportfootball;;712;
Deliverable 2;;SKY SPORT ARENA - SD;https://it.imageservice.sky.com/logo/skychb_921skysportarena;;921;
Deliverable 2;;SKY SPORT TENNIS -  SD;https://it.imageservice.sky.com/logo/skychb_246skysporttennis;;246;
Deliverable 2;;SKY SPORT ACTION - SD;https://it.imageservice.sky.com/logo/skychb_730skysportaction;;730;
Deliverable 2;;SKY SPORT F1  SD;https://it.imageservice.sky.com/logo/skychb_610skysportf1;;610;
Deliverable 2;;SKY SPORT MOTOGP- SD;https://it.imageservice.sky.com/logo/skychb_914skysportmotogp;;914;
Deliverable 2;;SKY SPORT NBA - SD;https://it.imageservice.sky.com/logo/skychb_611skysportnba;;611;
Deliverable 2;;SKY SPORT CALCIO HD/SD;https://it.imageservice.sky.com/logo/skychb_230skysportcalciohd;;230;
Deliverable 2;;SKY SPORT24 HD;https://it.imageservice.sky.com/logo/skychb_37skysport24hd;;37;
Deliverable 1;122810;SKY SPORT  HD/SD;https://it.imageservice.sky.com/logo/skychb_917skysporthd;https://myriad.merlin.comcast.com/select/logo?entityId=6819919545380183117;917;6819919545380183117
Deliverable 2;;Sky Sport;;;2906;
Deliverable 2;;Sky Sport;;;2907;
Deliverable 1;122914;SKY SPORT  HD/SD;https://it.imageservice.sky.com/logo/skychb_951skysporthd;https://myriad.merlin.comcast.com/select/logo?entityId=5075417586517272117;951;5075417586517272117
Deliverable 2;;Sky Sport;;;2908;
Deliverable 2;;Sky Sport;;;2909;
Deliverable 1;122915;SKY SPORT  HD/SD;https://it.imageservice.sky.com/logo/skychb_233skysporthd;https://myriad.merlin.comcast.com/select/logo?entityId=5905400328884153117;233;5905400328884153117
Deliverable 2;;Sky Sport;;;2910;
Deliverable 2;;Sky Sport;;;2911;
Deliverable 1;122916;SKY SPORT HD;https://it.imageservice.sky.com/logo/skychb_234skysporthd;https://myriad.merlin.comcast.com/select/logo?entityId=8328145740394079117;234;8328145740394079117
Deliverable 2;;Sky Sport;;;2912;
Deliverable 2;;Sky Sport;;;2913;
Deliverable 1;122917;SKY SPORT HD;https://it.imageservice.sky.com/logo/skychb_910skysporthd;https://myriad.merlin.comcast.com/select/logo?entityId=8552265453923655117;910;8552265453923655117
Deliverable 2;;Sky Sport;;;2914;
Deliverable 2;;Sky Sport;;;2915;
Deliverable 1;122918;SKY SPORT HD;https://it.imageservice.sky.com/logo/skychb_912skysporthd;https://myriad.merlin.comcast.com/select/logo?entityId=8222920854199726117;912;8222920854199726117
Deliverable 2;;Sky Sport;;;2916;
Deliverable 2;;Sky Sport;;;2917;
Deliverable 1;122919;SKY SPORT HD;https://it.imageservice.sky.com/logo/skychb_775skysporthd;https://myriad.merlin.comcast.com/select/logo?entityId=5166546616366394117;775;5166546616366394117
Deliverable 2;;Sky Sport;;;2918;
Deliverable 2;;Sky Sport;;;2919;
Deliverable 2;;SKY SPORT  ;https://it.imageservice.sky.com/logo/skychb_613skysport;;613;
Deliverable 2;;SKY SPORT  ;https://it.imageservice.sky.com/logo/skychb_615skysport;;615;
Deliverable 2;;SKY SPORT  ;https://it.imageservice.sky.com/logo/skychb_617skysport;;617;
Deliverable 2;;SKY SPORT  SD;https://it.imageservice.sky.com/logo/skychb_706skysport;;706;
Deliverable 2;;SKY SPORT  SD;https://it.imageservice.sky.com/logo/skychb_215skysport;;215;
Deliverable 2;;SKY SPORT  SD;https://it.imageservice.sky.com/logo/skychb_217skysport;;217;
Deliverable 1;86051;SKY CINEMA UNO HD/SD;https://it.imageservice.sky.com/logo/skychb_202skycinemaunohd;https://myriad.merlin.comcast.com/select/logo?entityId=7226197817554967117;202;7226197817554967117
Deliverable 1;86056;SKY CINEMA DUE HD/SD;https://it.imageservice.sky.com/logo/skychb_564skycinemaduehd;https://myriad.merlin.comcast.com/select/logo?entityId=8619253259412800117;564;8619253259412800117
Deliverable 1;86060;SKY CINEMA COLLECTION HD/SD;https://it.imageservice.sky.com/logo/skychb_204indianajonescollectionhd;https://myriad.merlin.comcast.com/select/logo?entityId=7554746846308889117;204;7554746846308889117
Deliverable 1;86059;SKY CINEMA FAMILY HD/SD;https://it.imageservice.sky.com/logo/skychb_255skycinemafamilyhd;https://myriad.merlin.comcast.com/select/logo?entityId=5444734861114656117;255;5444734861114656117
Deliverable 1;86065;SKY CINEMA ACTION HD/SD;https://it.imageservice.sky.com/logo/skychb_206skycinemaactionhd;https://myriad.merlin.comcast.com/select/logo?entityId=9086038047119269117;206;9086038047119269117
Deliverable 1;122893;SKY CINEMA SUSPENCE HD/SD;https://it.imageservice.sky.com/logo/skychb_47skycinemasuspensehd;https://myriad.merlin.comcast.com/select/logo?entityId=6464499683846067117;47;6464499683846067117
Deliverable 1;86066;SKY CINEMA ROMANCE HD/SD;https://it.imageservice.sky.com/logo/skychb_231skycinemaromancehd;https://myriad.merlin.comcast.com/select/logo?entityId=9112551176778722117;231;9112551176778722117
Deliverable 1;122894;SKY CINEMA DRAMA HD/SD;https://it.imageservice.sky.com/logo/skychb_769skycinemadramahd;https://myriad.merlin.comcast.com/select/logo?entityId=6891796374505577117;769;6891796374505577117
Deliverable 1;86054;SKY CINEMA COMEDY HD/SD;https://it.imageservice.sky.com/logo/skychb_30skycinemacomedyhd;https://myriad.merlin.comcast.com/select/logo?entityId=6820080251202685117;30;6820080251202685117
Deliverable 2;;SKY CINEMA UNO +24  HD/SD;https://it.imageservice.sky.com/logo/skychb_224skycinemauno24hd;;224;
Deliverable 2;;SKY CINEMA DUE+24  HD/SD;https://it.imageservice.sky.com/logo/skychb_779skycinemadue24hd;;779;
Deliverable 1;84621;IRIS;https://it.imageservice.sky.com/logo/skychb_5436iris;https://myriad.merlin.comcast.com/select/logo?entityId=7469912616683832117;5436;7469912616683832117
Deliverable 1;115689;CINE34;https://it.imageservice.sky.com/logo/skychb_5481cine34;https://myriad.merlin.comcast.com/select/logo?entityId=7160228984627126117;5481;7160228984627126117
Deliverable 2;;SKY CINEMA UNO SD;https://it.imageservice.sky.com/logo/skychb_101skycinemauno;;101;
Deliverable 2;;SKY CINEMA DUE SD;https://it.imageservice.sky.com/logo/skychb_137skycinemadue;;137;
Deliverable 2;;SKY CINEMA COLLECTION SD;https://it.imageservice.sky.com/logo/skychb_724indianajonescollection;;724;
Deliverable 2;;SKY CINEMA FAMILY SD;https://it.imageservice.sky.com/logo/skychb_105skycinemafamily;;105;
Deliverable 2;;SKY CINEMA ACTION  SD;https://it.imageservice.sky.com/logo/skychb_115skycinemaaction;;115;
Deliverable 2;;SKY CINEMA SUSPENCE SD;https://it.imageservice.sky.com/logo/skychb_151skycinemasuspense;;151;
Deliverable 2;;SKY CINEMA ROMANCE SD;https://it.imageservice.sky.com/logo/skychb_123skycinemaromance;;123;
Deliverable 2;;SKY CINEMA DRAMA SD;https://it.imageservice.sky.com/logo/skychb_727skycinemadrama;;727;
Deliverable 2;;SKY CINEMA COMEDY SD;https://it.imageservice.sky.com/logo/skychb_725skycinemacomedy;;725;
Deliverable 2;;SKY CINEMA UNO +24  SD;https://it.imageservice.sky.com/logo/skychb_107skycinemauno24;;107;
Deliverable 2;;SKY CINEMA DUE+24  SD;https://it.imageservice.sky.com/logo/skychb_732skycinemadue24;;732;
Deliverable 2;;SKY ARTE HD;https://it.imageservice.sky.com/logo/skychb_75skyartehd;;75;
Deliverable 2;;SKY ARTE +1 HD;;;251;
Deliverable 2;;SKY DOCUMENTARIES HD;https://it.imageservice.sky.com/logo/skychb_698skydocumentarieshd;;698;
Deliverable 2;;SKY DOCUMENTARIES +1 HD;https://it.imageservice.sky.com/logo/skychb_934skydocumentaries1hd;;934;
Deliverable 2;;SKY NATURE HD;https://it.imageservice.sky.com/logo/skychb_710skynaturehd;;710;
Deliverable 1;85650;DISCOVERY CHANNEL HD;https://it.imageservice.sky.com/logo/skychb_117discoveryhd;https://myriad.merlin.comcast.com/select/logo?entityId=7985218809942588117;117;7985218809942588117
Deliverable 3;;DISCOVERY +1;https://it.imageservice.sky.com/logo/skychb_322discovery1;;322;
Deliverable 1;82372;NATIONAL GEOGRAPHIC HD;https://it.imageservice.sky.com/logo/skychb_236nationalgeohd;https://myriad.merlin.comcast.com/select/logo?entityId=6675656206057862117;236;6675656206057862117
Deliverable 3;;NATIONAL GEOGRAPHIC +1;https://it.imageservice.sky.com/logo/skychb_58nationalgeo1;;58;
Deliverable 1;98985;NAT GEO WILD HD;https://it.imageservice.sky.com/logo/skychb_515natgeowildhd;https://myriad.merlin.comcast.com/select/logo?entityId=6731767006980188117;515;6731767006980188117
Deliverable 3;;NAT GEO WILD +1;https://it.imageservice.sky.com/logo/skychb_348natgeowild1;;348;
Deliverable 1;98974;HISTORY HD;https://it.imageservice.sky.com/logo/skychb_513historyhd;https://myriad.merlin.comcast.com/select/logo?entityId=6459630551791527117;513;6459630551791527117
Deliverable 3;;HISTORY +1;https://it.imageservice.sky.com/logo/skychb_57history1;;57;
Deliverable 3;;CI CRIME INVESTIGATION HD;https://it.imageservice.sky.com/logo/skychb_128crimeinvhd;;128;
Deliverable 3;;GAMBERO ROSSO HD;https://it.imageservice.sky.com/logo/skychb_229gamberorossohd;;229;
Deliverable 1;84609;FOCUS;https://it.imageservice.sky.com/logo/skychb_5447focus;https://myriad.merlin.comcast.com/select/logo?entityId=5671913435315683117;5447;5671913435315683117
Deliverable 1;111100;FOOD NETWORK HD;https://it.imageservice.sky.com/logo/skychb_722foodnetworkhd;https://myriad.merlin.comcast.com/select/logo?entityId=8630934155071593117;722;8630934155071593117
Deliverable 1;122445;HGTV HD;https://it.imageservice.sky.com/logo/skychb_4334hgtvhd;https://myriad.merlin.comcast.com/select/logo?entityId=6413914950413569117;4334;6413914950413569117
Deliverable 1;111101;MOTOR TREND HD;https://it.imageservice.sky.com/logo/skychb_3659motortrendhd;https://myriad.merlin.comcast.com/select/logo?entityId=7011400742299606117;3659;7011400742299606117
Deliverable 3;;QVC HD;https://it.imageservice.sky.com/logo/skychb_5466qvchd;;5466;
Deliverable 3;;GM24 HD;https://it.imageservice.sky.com/logo/skychb_5470gm24hd;;5470;
Deliverable 3;;FASHION TV;https://it.imageservice.sky.com/logo/skychb_810fashiontv;;810;
Deliverable 2;;Sky TG 24 HD;https://it.imageservice.sky.com/logo/skychb_521skytg24hd;;521;
Deliverable 1;122806;TG24 Primo Piano;https://it.imageservice.sky.com/logo/skychb_328tg24primopiano;https://myriad.merlin.comcast.com/select/logo?entityId=6616520825561425117;328;6616520825561425117
Deliverable 1;122807;Sky Meteo 24;https://it.imageservice.sky.com/logo/skychb_321skymeteo24;https://myriad.merlin.comcast.com/select/logo?entityId=5780475738739367117;321;5780475738739367117
Deliverable 2;;Sky Sport24 HD;https://it.imageservice.sky.com/logo/skychb_40skysport24hd;;40;
Deliverable 1;84844;Class CNBC;https://it.imageservice.sky.com/logo/skychb_433classcnbc;https://myriad.merlin.comcast.com/select/logo?entityId=8174273317253468117;433;8174273317253468117
Deliverable 1;78803;RAI News 24;https://it.imageservice.sky.com/logo/skychb_895rainews24;https://myriad.merlin.comcast.com/select/logo?entityId=8057198370313477117;895;8057198370313477117
Deliverable 1;84650;TgCom 24;https://it.imageservice.sky.com/logo/skychb_5411tgcom24;https://myriad.merlin.comcast.com/select/logo?entityId=8565958460033146117;5411;8565958460033146117
Deliverable 3;;Tg Norba 24;https://it.imageservice.sky.com/logo/skychb_5312tgnorba24;;5312;
Deliverable 3;;BFC;https://it.imageservice.sky.com/logo/skychb_5469bfc;;5469;
Deliverable 3;;POP Economy;https://it.imageservice.sky.com/logo/skychb_5409popeconomy;;5409;
Deliverable 3;;THE MAP REPORT TV;https://it.imageservice.sky.com/logo/skychb_5423themapreporttv;;5423;
Deliverable 3;;Vatican Media Europa;https://it.imageservice.sky.com/logo/skychb_818vaticanmediaeuropa;;818;
Deliverable 3;;EMILIA ROMAGNA 24;https://it.imageservice.sky.com/logo/skychb_5412emiliaromagna24;;5412;
Deliverable 3;;TRM h24;https://it.imageservice.sky.com/logo/skychb_5421trmh24;;5421;
Deliverable 3;;San Marino RTV HD;https://it.imageservice.sky.com/logo/skychb_5427sanmarinortvhd;;5427;
Deliverable 3;;Euronews;https://it.imageservice.sky.com/logo/skychb_801euronews;;801;
Deliverable 1;122885;Sky News;https://it.imageservice.sky.com/logo/skychb_108skynews;https://myriad.merlin.comcast.com/select/logo?entityId=4878527807254351117;108;4878527807254351117
Deliverable 1;29957;Fox News;https://it.imageservice.sky.com/logo/skychb_103foxnews;https://myriad.merlin.comcast.com/select/logo?entityId=4814014384004182117;103;4814014384004182117
Deliverable 3;;Camera dei Deputati;https://it.imageservice.sky.com/logo/skychb_826cameradeideputati;;826;
Deliverable 3;;Senato Italiano;https://it.imageservice.sky.com/logo/skychb_825senatoitaliano;;825;
Deliverable 1;17664;CNN Intl.;https://it.imageservice.sky.com/logo/skychb_211cnnintl;https://myriad.merlin.comcast.com/select/logo?entityId=7865216126373371117;211;7865216126373371117
Deliverable 1;58649;Fox Business;https://it.imageservice.sky.com/logo/skychb_544foxbusiness;https://myriad.merlin.comcast.com/select/logo?entityId=5852006738928117117;544;5852006738928117117
Deliverable 1;113145;CNBC HD;https://it.imageservice.sky.com/logo/skychb_245cnbchd;https://myriad.merlin.comcast.com/select/logo?entityId=5985048332247402117;245;5985048332247402117
Deliverable 3;;Bloomberg;https://it.imageservice.sky.com/logo/skychb_5256bloomberg;;5256;
Deliverable 3;;BBC World News;https://it.imageservice.sky.com/logo/skychb_891bbcworldnews;;891;
Deliverable 3;;France 24 English HD;https://it.imageservice.sky.com/logo/skychb_5296france24englishhd;;5296;
Deliverable 3;;Al Jazeera Intl. HD;https://it.imageservice.sky.com/logo/skychb_5113aljazeeraintlhd;;5113;
Deliverable 3;;NHK World TV HD;https://it.imageservice.sky.com/logo/skychb_5297nhkworldtvhd;;5297;
Deliverable 3;;Arirang TV;https://it.imageservice.sky.com/logo/skychb_5298arirangtv;;5298;
Deliverable 3;;CCTV News;https://it.imageservice.sky.com/logo/skychb_5150cgtn;;5150;
Deliverable 3;;RT HD;https://it.imageservice.sky.com/logo/skychb_5144rthd;;5144;
Deliverable 3;;i24news;https://it.imageservice.sky.com/logo/skychb_5448i24news;;5448;
Deliverable 3;;Euronews English HD;https://it.imageservice.sky.com/logo/skychb_5432euronewsenglishhd;;5432;
Deliverable 3;;teleSUR;https://it.imageservice.sky.com/logo/skychb_5322telesur;;5322;
Deliverable 3;;France 24 Francais HD;https://it.imageservice.sky.com/logo/skychb_5119france24francaishd;;5119;
Deliverable 3;;Deutsche Welle HD;https://it.imageservice.sky.com/logo/skychb_5203deutschewellehd;;5203;
Deliverable 3;;TVP Polonia;https://it.imageservice.sky.com/logo/skychb_5190tvppolonia;;5190;
Deliverable 3;;TVR Intl.;https://it.imageservice.sky.com/logo/skychb_5192tvrintl;;5192;
Deliverable 3;;Al Jazeera HD;https://it.imageservice.sky.com/logo/skychb_5114aljazeerahd;;5114;
Deliverable 3;;Al Arabiya;https://it.imageservice.sky.com/logo/skychb_5157alarabiya;;5157;
